atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"using input pcap file"
atf_snf.info sll2:Y
atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp  comment:"using experiment directory extracted from pcap file name"
atf_snf.info tcp_pair_dir:/home/avorovich/arnd/temp/x2tmp/tcp_pairs
atf_snf.info  fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"PcapFileProcess start"
In_Seqmsg latency  seq_x2traf:52  "x2write->snf_read":488871:59:37.57006  "snf_write->snf_read":00:00:00.000932
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570076
In_Seqmsg latency  seq_x2traf:53  "x2write->snf_read":488871:59:37.570076  "snf_write->snf_read":00:00:00.000948
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570088
In_Seqmsg latency  seq_x2traf:54  "x2write->snf_read":488871:59:37.570088  "snf_write->snf_read":00:00:00.00096
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570105
In_Seqmsg latency  seq_x2traf:55  "x2write->snf_read":488871:59:37.570105  "snf_write->snf_read":00:00:00.000977
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570119
In_Seqmsg latency  seq_x2traf:56  "x2write->snf_read":488871:59:37.570119  "snf_write->snf_read":00:00:00.000991
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570136
In_Seqmsg latency  seq_x2traf:57  "x2write->snf_read":488871:59:37.570136  "snf_write->snf_read":00:00:00.001008
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570148
In_Seqmsg latency  seq_x2traf:58  "x2write->snf_read":488871:59:37.570148  "snf_write->snf_read":00:00:00.00102
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570165
In_Seqmsg latency  seq_x2traf:59  "x2write->snf_read":488871:59:37.570165  "snf_write->snf_read":00:00:00.001037
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570179
In_Seqmsg latency  seq_x2traf:60  "x2write->snf_read":488871:59:37.570179  "snf_write->snf_read":00:00:00.001051
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578779
In_Seqmsg latency  seq_x2traf:61  "x2write->snf_read":488871:59:37.578779  "snf_write->snf_read":00:00:00.000062
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578795
In_Seqmsg latency  seq_x2traf:62  "x2write->snf_read":488871:59:37.578795  "snf_write->snf_read":00:00:00.000078
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578811
In_Seqmsg latency  seq_x2traf:63  "x2write->snf_read":488871:59:37.578811  "snf_write->snf_read":00:00:00.000094
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578817
In_Seqmsg latency  seq_x2traf:64  "x2write->snf_read":488871:59:37.578817  "snf_write->snf_read":00:00:00.0001
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578822
In_Seqmsg latency  seq_x2traf:65  "x2write->snf_read":488871:59:37.578822  "snf_write->snf_read":00:00:00.000105
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578827
In_Seqmsg latency  seq_x2traf:66  "x2write->snf_read":488871:59:37.578827  "snf_write->snf_read":00:00:00.00011
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578832
In_Seqmsg latency  seq_x2traf:67  "x2write->snf_read":488871:59:37.578832  "snf_write->snf_read":00:00:00.000115
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578841
In_Seqmsg latency  seq_x2traf:68  "x2write->snf_read":488871:59:37.578841  "snf_write->snf_read":00:00:00.000124
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578847
In_Seqmsg latency  seq_x2traf:69  "x2write->snf_read":488871:59:37.578847  "snf_write->snf_read":00:00:00.00013
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578852
In_Seqmsg latency  seq_x2traf:70  "x2write->snf_read":488871:59:37.578852  "snf_write->snf_read":00:00:00.000135
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578856
In_Seqmsg latency  seq_x2traf:71  "x2write->snf_read":488871:59:37.578856  "snf_write->snf_read":00:00:00.000139
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.578717  "ts_snf_read ":2025-10-08T11:59:37.578861
In_Seqmsg latency  seq_x2traf:72  "x2write->snf_read":488871:59:37.578861  "snf_write->snf_read":00:00:00.000144
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.59248
In_Seqmsg latency  seq_x2traf:73  "x2write->snf_read":488871:59:37.59248  "snf_write->snf_read":00:00:00.000056
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592495
In_Seqmsg latency  seq_x2traf:74  "x2write->snf_read":488871:59:37.592495  "snf_write->snf_read":00:00:00.000071
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592512
In_Seqmsg latency  seq_x2traf:75  "x2write->snf_read":488871:59:37.592512  "snf_write->snf_read":00:00:00.000088
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592524
In_Seqmsg latency  seq_x2traf:76  "x2write->snf_read":488871:59:37.592524  "snf_write->snf_read":00:00:00.0001
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592541
In_Seqmsg latency  seq_x2traf:77  "x2write->snf_read":488871:59:37.592541  "snf_write->snf_read":00:00:00.000117
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592553
In_Seqmsg latency  seq_x2traf:78  "x2write->snf_read":488871:59:37.592553  "snf_write->snf_read":00:00:00.000129
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592569
In_Seqmsg latency  seq_x2traf:79  "x2write->snf_read":488871:59:37.592569  "snf_write->snf_read":00:00:00.000145
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592581
In_Seqmsg latency  seq_x2traf:80  "x2write->snf_read":488871:59:37.592581  "snf_write->snf_read":00:00:00.000157
