logging standalone files in cap_dir:/home/avorovich/pcap/cap
====--PcapFileProcess  fname:/home/avorovich/pcap/o1_missed_produce.pcap

req_hdr_hex___:" 00 00 00 20| 00 03 00 09| 00 00 00 01| 00 10"
fkafka request header req_length:32  api_key:3  api_key_str:Metadata  api_version:9  correlation_id:1  client_id_len:16
client_id_key:redpanda-console
kafka_pay_asci:..
kafka_pay_hex:" 00 00"
kafka found.increasing swin_offset by kafka_len4:36  swin_buf_n:36  swin_offset:0
swin -end kafkaDetectAndStore loop of validation  swin_buf_n:36  swin_offset:36  kafka_per_frame_count:1  candidate:Y
swin_buf_n has been shifted (reduced) to  remaining:0  swin_buf_n:0  "offset before reset":36

FrameParseHeaders MAC  iframe:86  mac_pair_key:00:00:00:00:08:04-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514
---  iframe:000000000086  tcp_pair_key:192.168.108.4:1043-192.168.108.1:35132  direction:2  th_flags:"ACK  10"  seq_rel:000000000504:000000001952  seq_gap:"            "  tsval:000417377701  ts_ns:00000000003399823656  tcp_pay_len:001448
p_pay_hex:" 00 00 0a 41| 00 00 00 01| 00 00 00 00| 00 05 00 00| 00 01 10 64| 65 76 2e 61| 6b 2d 38 2e| 62 31 2e 65| 78 74 00 00| 04 07 00 00| 00 00 00 02| 10 64 65 76| 2e 61 6b 2d| 38 2e 62 32| 2e 65 78 74| 00 00 04 0f| 00 00 00 00| 00 03 10 64| 65 76 2e 61| 6b 2d 38 2e| 62 33 2e 65| 78 74 00 00| 04 13 00 00| 00 00 00 04| 10 64 65 76| 2e 61 6b 2d| 38 2e 62 34| 2e 65 78 74| 00 00 04 17| 00 00 09 64| 65 76 2e 61| 6b 2d 38 00| 00 00 04 0b| 00 00 04 61| 76 36 00 04| 00 00 00 00| 00 00 00 00| 00 03 00 00| 00 0a 02 00| 00 00 03 02| 00 00 00 03| 01 00 00 00| 00 00 00 02| 00 00 00 01| 00 00 00 0a| 02 00 00 00| 01 02 00 00| 00 01 01 00| 00 00 00 00| 00 01 00 00| 00_trunc_"
p_pay_asci:...A...............dev.ak-8.b1.ext...........dev.ak-8.b2.ext...........dev.ak-8.b3.ext...........dev.ak-8.b4.ext.......dev.ak-8........av6..............................................................._trunc_
swin_buf_n to be extended by frame  previous_swin_buf_n:0  tcp_pay_len_to_add:1448  previous_offset:503
swin -start  kafkaDetectAndStore loop of validation  swin_buf_n:1448  swin_offset:0  kafka_per_frame_count:0
swin_buf_elems:" 00 00 0a 41| 00 00 00 01| 00 00 00 00| 00 05 00 00| 00 01 10 64| 65 76 2e 61| 6b 2d 38 2e| 62 31 2e 65| 78 74 00 00| 04 07 00 00| 00 00 00 02| 10 64 65 76| 2e 61 6b 2d| 38 2e 62 32| 2e 65 78 74| 00 00 04 0f| 00 00 00 00| 00 03 10 64| 65 76 2e 61| 6b 2d 38 2e| 62 33 2e 65| 78 74 00 00| 04 13 00 00| 00 00 00 04| 10 64 65 76| 2e 61 6b 2d| 38 2e 62 34| 2e 65 78 74| 00 00 04 17| 00 00 09 64| 65 76 2e 61| 6b 2d 38 00| 00 00 04 0b| 00 00 04 61| 76 36 00 04| 00 00 00 00| 00 00 00 00| 00 03 00 00| 00 0a 02 00| 00 00 03 02| 00 00 00 03| 01 00 00 00| 00 00 00 02| 00 00 00 01| 00 00 00 0a| 02 00 00 00| 01 02 00 00| 00 01 01 00| 00 00 00 00| 00 01 00 00| 00_trunc_"
swin candidate Rsp  length:2625  correlation_id:1
buffer in frame is not enough iframe:86  kafka_len4:2629  swin_buf_n:1448  swin_offset:0
swin -end kafkaDetectAndStore loop of validation  swin_buf_n:1448  swin_offset:0  kafka_per_frame_count:0  candidate:Y

FrameParseHeaders MAC  iframe:87  mac_pair_key:00:00:00:00:08:04-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1247
---  iframe:000000000087  tcp_pair_key:192.168.108.4:1043-192.168.108.1:35132  direction:2  th_flags:"PUSH ACK  18"  seq_rel:000000001952:000000003133  seq_gap:"            "  tsval:000417377701  ts_ns:00000000003399823656  tcp_pay_len:001181
